rows,os,page,total,projects_curr_total_commitment,projects_curr_ibrd_commitment,projects_curr_ida_commitment,projects_id,projects_regionname,projects_countryname,projects_prodline,projects_lendinginstr,projects_lendinginstrtype,projects_supplementprojectflg,projects_projectstatusdisplay,projects_project_name,projects_board_approval_month,projects_totalamt,projects_borrower,projects_impagency,projects_countrycode,projects_countryshortname,projects_p2a_updated_date,projects_sector1_Name,projects_sector1_Percent,projects_theme1,projects_totalcommamt,projects_approvalfy,projects_source,projects_mjthemecode,projects_teamleadname,projects_boardapprovaldate,projects_url,projects_proj_and_ln_country,projects_mjtheme_namecode_name,projects_mjtheme_namecode_code,projects_country_namecode,projects_p2a_flag,projects_prodlinetext,projects_idacommamt,projects_ibrdcommamt,projects_lendprojectcost,projects_status,projects_productlinetype,projects_projectdocs,facets,projects_theme_list_name,projects_theme_list_code,projects_theme_list_seqno,projects_theme_list_percent,projects_theme_list_theme2_name,projects_theme_list_theme2_code,projects_theme_list_theme2_seqno,projects_theme_list_theme2_percent,projects_theme_list_theme2_theme3_name,projects_theme_list_theme2_theme3_code,projects_theme_list_theme2_theme3_seqno,projects_theme_list_theme2_theme3_percent,projects_closingdate,projects_ln_country_id,projects_ln_country_id_desc
100,0,1,22720,240,240,0,P171422,South Asia,['Islamic Republic of Pakistan'],PE,Investment Project Financing,IN,N,Active,Second Karachi Water and Sewerage Services Improvement Project (KWSSIP-2),December,"240,000,000",Islamic Republic of Pakistan,Province of Sindh through the Karachi Water and Sewerage Board (KWSB),['PK'],Pakistan,2024-12-16 00:00:00.0,,0,!$!0,"240,000,000",2025,['IBRD'],5,"Khairy Al-Jamal,Davison Muchadenyika,Tiziana Smith",2024-12-12T00:00:00Z,https://projects.worldbank.org/en/projects-operations/project-detail/P171422,['PK'],,5,997000000!$!PK,Y,IBRD/IDA,0,"240,000,000","997,000,000",Active,L,[],nil,Environment and Natural Resource Management,80,3,0,Water Resource Management,85,9,0,"Water Institutions, Policies and Reform",851,12,0,nil,nil,nil
100,0,1,22720,100,0,100,P178687,South Asia,['Nepal'],PE,Development Policy Lending,AD,N,Active,"NEPAL SECOND GREEN, RESILIENT, AND INCLUSIVE PROGRAMMATIC DEVELOPMENT POLICY CREDIT",December,"100,000,000",Nepal,Ministry of Finance,['NP'],Nepal,2024-12-16 00:00:00.0,,0,!$!0,"100,000,000",2025,['IBRD'],11,"Stephen Danyo,George Joseph,Martin Heger",2024-12-12T00:00:00Z,https://projects.worldbank.org/en/projects-operations/project-detail/P178687,['NP'],,11,0!$!NP,Y,IBRD/IDA,"100,000,000",0,"100,000,000",Active,L,[],nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil
100,0,1,22720,325.1,325.1,0,P178253,South Asia,['Republic of India'],PE,Investment Project Financing,IN,N,Active,Uttar Pradesh Agriculture Growth and Rural Enterprise Ecosystem Strengthening Project,December,"325,100,000",nil,"Department of Agriculture, Government of Uttar Pradesh",['IN'],India,2024-12-16 00:00:00.0,,0,!$!0,"325,100,000",2025,['IBRD'],6,"Vinayak Narayan Ghatate,Andrew D. Goodland,Harsh Jhanjaria",2024-12-12T00:00:00Z,https://projects.worldbank.org/en/projects-operations/project-detail/P178253,['IN'],,6,500000000!$!IN,Y,IBRD/IDA,0,"325,100,000","500,000,000",Active,L,[],nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil
100,0,1,22720,0,0,0,P500536,South Asia,['Kingdom of Bhutan'],PE,Development Policy Lending,AD,nil,Active,Bhutan Climate and Disaster Resilience Development Policy Financing with a Catastrophe Deferred Drawdown Option,December,0,nil,nil,['BT'],Bhutan,2024-12-13 00:00:00.0,,0,!$!0,0,2025,['IBRD'],4,"Naho Shibuya,Yumeka Hirano",2024-12-11T00:00:00Z,https://projects.worldbank.org/en/projects-operations/project-detail/P500536,['BT'],,4,0!$!BT,Y,IBRD/IDA,0,0,0,Active,L,[],nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,12/31/2027 12:00:00 AM,nil,nil
100,0,1,22720,200,0,200,P181238,Western and Central Africa,['Republic of Togo'],PE,Development Policy Lending,AD,N,Active,Togo's Second Sustainable and Inclusive Development Policy Financing,December,"200,000,000",Ministry of Economy and Finance,Republic of Togo,['TG'],Togo,2024-12-12 00:00:00.0,,0,!$!0,"200,000,000",2025,['IBRD'],8,Marc Stocker,2024-12-10T00:00:00Z,https://projects.worldbank.org/en/projects-operations/project-detail/P181238,['TG'],,8,0!$!TG,Y,IBRD/IDA,"200,000,000",0,"200,000,000",Active,L,[],nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,5/31/2026 12:00:00 AM,nil,nil
100,0,1,22720,200,200,0,P181174,Latin America and Caribbean,['Republic of Costa Rica'],PE,Investment Project Financing,IN,N,Active,Costa Rica Results in Education (CORE),December,"200,000,000",Republic of Costa Rica,Ministry of Public Education,['CR'],Costa Rica,2024-12-08 00:00:00.0,,0,!$!0,"200,000,000",2025,['IBRD'],8,Suhas D. Parandekar,2024-12-06T00:00:00Z,https://projects.worldbank.org/en/projects-operations/project-detail/P181174,['CR'],,8,200000000!$!CR,Y,IBRD/IDA,0,"200,000,000","200,000,000",Active,L,[],nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil
100,0,1,22720,142,0,142,P181633,Middle East and North Africa,['Republic of Yemen'],PE,Investment Project Financing,IN,Y,Active,Third Additional Financing Yemen Emergency Human Capital Project,December,"142,000,000","World Health Organization, United Nations Office for Project Services, United Nations Children's Fund","World Health Organization, United Nations Office for Project Services, United Nations Children's Fund",['RY'],"Yemen, Republic of",2024-12-08 00:00:00.0,,0,!$!0,"142,000,000",2025,['IBRD'],8,"Avril Dawn Kaplan,Arsala Deane,Naif Mohammed Abu-Lohom",2024-12-06T00:00:00Z,https://projects.worldbank.org/en/projects-operations/project-detail/P181633,['RY'],,8,450000000!$!RY,Y,IBRD/IDA,"142,000,000",0,"150,000,000",Active,L,[],nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil
100,0,1,22720,543.5,543.5,0,P181752,Western and Central Africa,"[""Republic of Cote d'Ivoire""]",GU,Development Policy Lending,AD,N,Active,Cote d'Ivoire DPO3 Guarantee,December,"543,500,000",nil,nil,['CI'],Cote d'Ivoire,2024-12-10 00:00:00.0,,0,!$!0,"543,500,000",2025,['IBRD'],2,"Nathalie Picarelli,Markus Kitzmuller,Vincent Francois Jean Launay",2024-12-05T00:00:00Z,https://projects.worldbank.org/en/projects-operations/project-detail/P181752,['CI'],,2,0!$!CI,Y,Guarantees,0,"543,500,000",nil,Active,L,[],nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil
100,0,1,22720,25,25,0,P502012,Western and Central Africa,['Republic of The Gambia'],PE,Development Policy Lending,AD,nil,Active,The Gambia Second Boosting Resilience and Unlocking Productive Potential DPF,December,"25,000,000",nil,nil,['GM'],"Gambia, The",2024-12-08 00:00:00.0,,0,!$!0,"25,000,000",2025,['IBRD'],10,"Wilfried Anicet Kouakou Kouame,Ephrem Niyongabo",2024-12-05T00:00:00Z,https://projects.worldbank.org/en/projects-operations/project-detail/P502012,['GM'],,10,0!$!GM,Y,IBRD/IDA,0,"25,000,000","25,000,000",Active,L,[],nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,12/31/2025 12:00:00 AM,nil,nil
100,0,1,22720,0,0,0,P502565,Western and Central Africa,['Republic of Liberia'],PE,Development Policy Lending,AD,N,Active,Liberia First Resilient and Inclusive Growth Development Policy Financing,December,0,nil,nil,['LR'],Liberia,2024-12-08 00:00:00.0,,0,!$!0,0,2025,['IBRD'],11,"Muhammad Waheed,Mary Elinor Boyer",2024-12-05T00:00:00Z,https://projects.worldbank.org/en/projects-operations/project-detail/P502565,['LR'],,11,0!$!LR,Y,IBRD/IDA,0,0,0,Active,L,[],nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,12/31/2027 12:00:00 AM,nil,nil
